,duration,erotism,rhythm,filmtv_id,humor,effort,year,critics_vote,public_vote,total_votes,tension,avg_vote
105,106,0,3,189,0,0,1990,5.14,5,54,2,5.2
106,110,0,2,193,0,0,1977,3.33,6,37,1,4.7
107,100,0,2,194,1,0,1991,4,6,6,1,5.2
108,99,1,2,198,2,0,1961,4,5,7,1,4.4
109,100,0,2,199,2,1,1983,3.71,7,105,0,5.2
110,90,2,2,200,0,1,1992,3.5,5,5,2,4.4
111,104,0,2,201,0,3,1959,6,7,9,3,6.4
112,87,0,0,202,0,0,1956,6.25,6,13,0,6.3
113,78,0,3,204,1,0,1954,8,7,11,0,7.5
114,92,2,3,205,1,1,1959,8,7,4,3,7.3
115,95,0,2,207,1,1,1968,5.29,5,25,1,5.2
116,103,0,2,208,0,0,1963,8,7,5,2,7.6
117,117,1,2,209,0,0,1970,8,7,8,3,7.5
118,91,0,2,210,1,1,1943,6,5,15,2,5.7
119,90,0,2,212,2,0,1949,5.43,6,8,0,5.7
120,85,0,2,213,2,1,1945,7,6,17,1,6.5
121,90,1,1,214,0,0,1991,7.33,7,10,3,7.2
122,103,1,2,216,0,2,1985,6.33,6,14,3,6.3
123,100,0,3,217,0,0,1987,4,6,4,1,5
124,84,0,0,219,0,0,1954,6,6,11,0,6.2
125,87,0,3,220,0,3,1939,7.9,8,48,3,8.1
126,90,0,3,221,0,1,1939,7,7,4,4,7
127,100,0,2,223,1,1,1959,8.13,7,69,2,7.7
128,146,2,2,224,0,2,1957,7,6,19,2,6.7
129,77,0,2,225,2,0,1936,6,7,4,1,6.5
130,98,0,2,227,0,1,1935,4.5,4,3,1,4.3
131,220,0,1,228,0,4,1980,8.67,7,8,1,7.6
132,110,0,2,229,1,2,1966,7.57,8,32,2,7.5
133,110,1,2,230,2,2,1972,6.91,7,48,1,7
134,120,1,3,231,0,1,1969,8,8,7,2,8.1
135,82,0,2,232,0,0,1939,8,7,4,3,7.3
136,105,1,1,233,0,0,1979,5,6,12,0,5.7
137,88,0,3,236,0,2,1956,8,8,15,3,7.9
138,90,0,2,237,0,0,1963,6,7,3,2,6.3
139,95,2,2,238,2,0,1989,6,6,39,2,6
140,78,0,3,239,1,1,1956,8,7,12,3,7.7
141,106,0,2,240,2,1,1990,6.7,7,94,1,6.7
142,107,1,3,241,2,3,1974,7.73,8,124,3,7.7
143,115,0,3,242,0,2,1979,8.58,8,644,4,8.5
144,92,0,2,243,0,0,1989,4,3,9,1,3.4
145,92,0,1,244,0,0,1987,4,1,4,1,2.7
146,97,1,2,246,1,0,1987,7.44,7,73,2,7.3
147,136,0,4,247,1,1,1986,7.93,8,382,4,8
148,101,0,3,248,2,3,1979,7.78,7,21,1,7.3
149,105,1,3,249,3,1,1984,7.47,7,178,2,7.2
150,92,0,3,250,1,0,1954,7.33,7,34,2,7.2
151,98,3,3,254,1,1,1983,6.9,6,42,3,6.4
152,102,0,1,255,0,0,1969,4,5,5,1,4.5
153,50,0,2,256,3,0,1916,7.83,7,24,0,7.4
154,105,2,3,257,0,2,1981,7.33,7,11,3,7.3
155,95,0,2,258,0,2,1990,5.75,6,28,3,5.6
156,79,0,3,260,3,0,1988,7.5,7,85,1,7.4
157,99,0,2,262,1,0,1985,4,5,19,1,4.4
